S10957,S8177,0
S8177,S8005,0
S8005,S8006,0
S8006,S8007,0
S8007,S8983,0
S8983,S12031,0
S12031,S8008,0
S8008,S8009,0
S8009,S8027,0
S8027,S8028,0
S8028,S8029,0
S8029,S8030,0
S8030,S8031,0
S8031,S8032,0
S8032,S8984,0
S8984,S8179,0
S8179,S8180,0
S8180,S8181,0
S8181,S8182,0
S8182,S7453,0
S7453,S7454,0
S7454,S7455,0
S7455,S11668,0
S11668,S7457,0
S7457,S7458,0
S7458,S11665,0
S11665,S7460,0
S7460,S7461,0
S7461,S7462,0
S7462,S7463,0
S7463,S7464,0
S7464,S11664,0
S11664,S7465,0
S7465,S11673,0
S11673,S5970,0
S5970,S5971,0
S5971,S5972,0
S5972,S5973,0
S5973,S5974,0
S5974,S5975,0
S5975,S11661,0
S11661,S5978,0
S5978,S5979,0
S5979,S5980,0
S5980,S5981,0
S5981,S5982,0
S5982,S5983,0
S5983,S5984,0
S5984,S5986,0
S5986,S74,0
S74,S5987,0
S5987,S5988,0
S5988,S9829,0
S9829,S9830,0
S9830,S9831,0
S9831,S9832,0
S9832,S9833,0
S9833,S11851,0
S11851,S9835,0
S9835,S9836,0
S9836,S9837,0
S9837,S9838,0
S9838,S9839,0
S9839,S9840,0
S9840,S9841,0
S9841,S9842,0
S9842,S11658,0
S11658,S9844,0
S9844,S9588,0
S9588,S10206,0
S10206,S9589,0
S9589,S9590,0
S9590,S11025,0
S11025,S11216,0
S11216,S11205,0
S11205,S5454,0
S5454,S5455,0
S5455,S5456,0
S5456,S9845,0
S9845,S11659,0
S11659,S9847,0
S9847,S9848,0
S9848,S11527,0
S11527,S9849,0
S9849,S9850,0
S9850,S9851,0
S9851,S9852,0
S9852,S9853,0
S9853,S11850,0
S11850,S9855,0
S9855,S9856,0
S9856,S9857,0
S9857,S9858,0
S9858,S12122,0
S12122,S9859,0
S9859,S9860,0
S9860,S5989,0
S5989,S74,0
S74,S5991,0
S5991,S5992,0
S5992,S5994,0
S5994,S5995,0
S5995,S5996,0
S5996,S5997,0
S5997,S5998,0
S5998,S5999,0
S5999,S6000,0
S6000,S11660,0
S11660,S6002,0
S6002,S6006,0
S6006,S6007,0
S6007,S6008,0
S6008,S6009,0
S6009,S6010,0
S6010,S11662,0
S11662,S7440,0
S7440,S11663,0
S11663,S10477,0
S10477,S7442,0
S7442,S7443,0
S7443,S7444,0
S7444,S7445,0
S7445,S7446,0
S7446,S11666,0
S11666,S7448,0
S7448,S11667,0
S11667,S7450,0
S7450,S7451,0
S7451,S7452,0
S7452,S8183,0
S8183,S8184,0
S8184,S8185,0
S8185,S8186,0
S8186,S8187,0
S8187,S8188,0
S8188,S8189,0
S8189,S8190,0
S8190,S8191,0
S8191,S8192,0
S8192,S8193,0
S8193,S8194,0
S8194,S9970,0
S9970,S12030,0
S12030,S9968,0
S9968,S9969,0
S9969,S7996,0
S7996,S7997,0
S7997,S8178,0
S8178,S10958,0
S10958,S94,0
S12176,S3774,0
S3774,S3775,0
S3775,S3776,0
S3776,S3225,0
S3225,S3226,0
S3226,S3227,0
S3227,S3228,0
S3228,S3229,0
S3229,S3230,0
S3230,S3231,0
S3231,S3694,0
S3694,S3262,0
S3262,S3263,0
S3263,S3264,0
S3264,S3265,0
S3265,S3727,0
S3727,S3728,0
S3728,S3237,0
S3237,S2007,0
S2007,S2008,0
S2008,S2009,0
S2009,S2010,0
S2010,S10674,0
S10674,S2011,0
S2011,S2012,0
S2012,S2013,0
S2013,S2014,0
S2014,S2015,0
S2015,S2277,0
S2277,S2278,0
S2278,S2279,0
S2279,S2280,0
S2280,S2281,0
S2281,S2282,0
S2282,S2283,0
S2283,S1753,0
S1753,S1754,0
S1754,S1755,0
S1755,S1756,0
S1756,S1757,0
S1757,S1758,0
S1758,S1759,0
S1759,S10162,0
S10162,S2073,0
S2073,S2074,0
S2074,S2734,0
S2734,S2735,0
S2735,S2654,0
S2654,S76,0
S76,S2578,0
S2578,S13045,0
S13045,S2582,0
S2582,S2583,0
S2583,S2584,0
S2584,S2585,0
S2585,S2586,0
S2586,S2587,0
S2587,S2807,0
S2807,S2808,0
S2808,S2809,0
S2809,S12914,0
S12914,S2810,0
S2810,S10022,0
S10022,S2811,0
S2811,S2812,0
S2812,S2813,0
S2813,S2546,0
S2546,S2547,0
S2547,S2548,0
S2548,S2907,0
S2907,S2908,0
S2908,S2909,0
S2909,S2910,0
S2910,S2911,0
S2911,S2913,0
S2913,S2914,0
S2914,S2915,0
S2915,S2916,0
S2916,S2931,0
S2931,S2932,0
S2932,S2933,0
S2933,S2934,0
S2934,S2935,0
S2935,S2936,0
S2936,S2937,0
S2937,S2938,0
S2938,S2939,0
S2939,S2940,0
S2940,S2941,0
S2941,S2942,0
S2942,S2943,0
S2943,S2944,0
S2944,S2945,0
S2945,S2946,0
S2946,S2947,0
S2947,S2948,0
S2948,S13137,0
S13137,S13138,0
S13138,S13139,0
S13139,S13140,0
S13140,S13141,0
S13141,S4501,0
S4501,S4502,0
S4502,S4521,0
S4521,S4522,0
S4522,S4523,0
S4523,S4524,0
S4524,S13142,0
S13142,S13143,0
S13143,S13144,0
S13144,S12487,0
S12487,S12485,0
S12485,S12483,0
S12483,S12481,0
S12481,S12479,0
S12479,S12820,0
S12820,S12990,0
S12990,S12821,0
S12821,S8299,0
S8299,S11451,0
S11451,S10105,0
S10105,S83,0
S83,S10101,0
S10101,S10102,0
S10102,S10103,0
S10103,S11452,0
S11452,S8301,0
S8301,S8302,0
S8302,S8303,0
S8303,S8304,0
S8304,S8305,0
